PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-ZD28G4,2,PJM_PPL_1296032008,12/11/2019 6:55,20191211065600663000_PJM_PPL_1296032008,12/11/2019 6:56,FORECAST_COMPLETE,12/11/2019 7:14,SUCCESS
1-ZD28G4,2,PJM_PPL_0434025000,12/11/2019 6:55,20191211065600616000_PJM_PPL_0434025000,12/11/2019 6:56,FORECAST_COMPLETE,12/11/2019 7:14,SUCCESS
1-ZD28G4,2,PJM_PPL_4651024005,12/11/2019 6:50,20191211065100619000_PJM_PPL_4651024005,12/11/2019 6:51,FORECAST_COMPLETE,12/11/2019 7:09,SUCCESS
1-ZD28G4,2,PJM_PPL_2109022015,12/11/2019 6:50,20191211065100776000_PJM_PPL_2109022015,12/11/2019 6:51,FORECAST_COMPLETE,12/11/2019 7:09,SUCCESS
1-XQTOQG,2,PJM_AEPOP_00140060710106422,12/11/2019 6:41,20191211064200636000_PJM_AEPOP_00140060710106422,12/11/2019 6:42,FORECAST_COMPLETE,12/11/2019 6:59,SUCCESS
1-XQTOQG,2,PJM_AEPOP_00140060726368443,12/11/2019 6:40,20191211064104691000_PJM_AEPOP_00140060726368443,12/11/2019 6:41,FORECAST_COMPLETE,12/11/2019 7:01,SUCCESS
1-XQSLA9,2,PJM_AEPOP_00140060746833211,12/11/2019 6:40,20191211064104566000_PJM_AEPOP_00140060746833211,12/11/2019 6:41,FORECAST_COMPLETE,12/11/2019 7:00,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000011925627943807,12/11/2019 6:25,20191211062607781000_PJM_PSEG_PE000011925627943807,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:46,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000009862477895007,12/11/2019 6:25,20191211062608796000_PJM_PSEG_PE000009862477895007,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:42,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000011316535173073,12/11/2019 6:25,20191211062609046000_PJM_PSEG_PE000011316535173073,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:54,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000011988075543807,12/11/2019 6:25,20191211062608984000_PJM_PSEG_PE000011988075543807,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:54,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000010835441695007,12/11/2019 6:25,20191211062608718000_PJM_PSEG_PE000010835441695007,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:54,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000012017591443807,12/11/2019 6:25,20191211062608718000_PJM_PSEG_PE000012017591443807,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:53,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000012017570843807,12/11/2019 6:25,20191211062607968000_PJM_PSEG_PE000012017570843807,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:53,SUCCESS
1-ZD28G4,2,PJM_PPL_2842037005,12/11/2019 6:25,20191211062607515000_PJM_PPL_2842037005,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:53,SUCCESS
1-ZD28G4,2,PJM_PPL_1403130004,12/11/2019 6:25,20191211062607499000_PJM_PPL_1403130004,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:49,SUCCESS
1-ZD28G4,2,PJM_PPL_1526115007,12/11/2019 6:25,20191211062607390000_PJM_PPL_1526115007,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:45,SUCCESS
1-ZD28G4,2,PJM_PPL_0488674004,12/11/2019 6:25,20191211062607421000_PJM_PPL_0488674004,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:45,SUCCESS
1-ZPLD24,1,PJM_PSEG_PE000012017569043807,12/11/2019 6:25,20191211062607499000_PJM_PSEG_PE000012017569043807,12/11/2019 6:26,FORECAST_COMPLETE,12/11/2019 6:42,SUCCESS
